property_company,developer,property_fee,house_type,surr_envi,surr_school,surr_trafic,surr_business,surr_entertain,id
自设管理公司,九洲开发公司,1.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,九洲小学，实验中学,3.4.22.26.99路,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,552
格力物业,,0.8 元/平米*月,住宅,吉大邮政营业厅，广州省中医院珠海分院，农业银行，中国银行，珠海商业银行，光大，工行，东亚银行，华润银行总部,建才幼儿园，景园小学，实验中学,2路，3路，13路，20路，23路，25路，25A，26路，40路，43路，202路，260路，605路,免税百货，新天地购物城,九州城、免税商场、百货广场、国贸购物广场；,529
日东物业,日东物业,1.5 元/平米*月,住宅,近海滨公园，海滨公园,实验中学，九洲小学,4路、20路、43路等，到海滨南站；,金碧时代广场、华润万家、免税商场、珠海百货、海天购物广场等；,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,490
第一太平洋戴维斯,金桥置业有限公司,8.0 元/平米*月,住宅,洲仔公园，情侣路，邻近九洲港，青蓝美食街,海湾小学，九洲中学,"25，23，99，12，3，3A,26，4",和大福超市，百和超市，青蓝美食街,,1511
街道办,港务局,0.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，,海湾小学，实验中学,25.12.22.3.4.99.23.,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,3868
,,1.5 元/平米*月,住宅,医院：传统医学研究所、仁和骨科医院； 邮局：粤海东邮政厅；,金钟小学、恩溢小学、市四中；竹苑幼儿园；,观光01线、观光02线、2路、12路、21路、22路、25路、40路、60路、69路、202路、206路、605路，到竹苑站,万佳百货、迎宾广场、又一家超市、屈臣氏,白莲洞公园、板障山森林公园、华侨宾馆,43016
珠光物业,珠光地产,1.2 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,公立学校：九洲小学距离700米，九洲中学(原名”实验中学“）距离200米,华景花园站：4路、22路、26路,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,珠海电台、喜相逢娱乐树咖啡厅、新华书店等,496
街道 边,珠光,0.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,505
侨飞公司,侨飞公司,1.0 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学，九洲小学。,25.12.22.3.4.99.23.,润万家商场、百货商场、免税商场、海天城购物广场，福泉等,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,479
格力物业,,0.0 元/平米*月,住宅,,,,,,544
街边办,侨飞,0.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，,九洲小学，实验中学,22.12.23.25.3.4.99,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、,556
白玫瑰物业公司,珠海经济特区恒达集团,2.0 元/平米*月,住宅,其他：吉大市场、吉莲市场海滨公园、海滨泳场、石景山公园等,"幼儿园：龙洲幼儿园；中小学：九州小学,试验中学；",交通指引：02观光线、3路、4路、12路、23路、25路，到洲仔站； ,珠海工业技工学校；商场：免税商场、百货广场、国贸购物广场；,医院：中医院、阳光医院；邮局：吉大邮政局（九洲大道）；银行：农信合作社、中国银行、农业银行、建设银行、工商银行、光大银行；,580
日东物业,日东,0.6 元/平米*月,住宅,金碧时代广场、华润万家、免税商场、珠海百货、海天购物广场等,吉大小学、九洲小学、吉莲小学、珠海市实验中学、珠海市第四中学,4路、20路、43路等，到海滨南站； 9路、25路到君怡花园站,光大国际贸易中心、九洲水会、国际会议中心、麦当劳、,金碧时代广场、华润万家、免税商场、珠海百货、海天购物广场等；,582
,珠海世邦房地产开发有限公司,2.8 元/平米*月,住宅,珠海百货，珠海免税商场，国贸百货，珠海市中医院 九龙医院,珠宾幼儿园、吉大小学，四中,2、25、40、43、23、603,珠海百货，珠海免税商场，国贸百货,珠海百货，珠海免税商场，国贸百货,592
云涛物业,,0.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学；九洲小学,3路、4路、12路、23路等，到珠海电台站；,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,627
世家物业,世家,4.0 元/平米*月,写字楼,星城大酒店、工商银行、金山软件,九洲小学、实验中学,13、4、26、23、,珠海百货、国贸海天城、免税商场,凯迪克酒店、新浪潮KTV,596
御兴物业,御兴,1.5 元/平米*月,住宅,医院： 珠海市中医院、海湾社区卫生服务站银行：中国银行、建设银行、工商银行、邮政储蓄、深圳发展银行等,珠海健中幼儿园 九洲小学 实验中学,4路，9路，13路。,金碧时代广场，珠海百货，吉大免税商场。,水湾酒吧街，南油酒店，水榭巴西西餐厅，高尔夫俱乐部,620
君创物业,君创,0.6 元/平米*月,住宅,海滨公园；海滨泳场,实验中学；九洲小学,4路、20路、43路等，到海滨南站；   9路、25路到君怡花园站,"免税商场,金碧时代广场、华润万家、免税商场、珠海百货、国贸购物广场等；",凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、,559
自住物业,自住物业,0.6 元/平米*月,住宅,联通大厦  白莲洞公园 九龙医院,吉莲小学 实验中学,2路、12路、21路、22路、40路建业一路巴士站站下车,万福泉超市 港华超市,白莲洞公园,560
,,2.0 元/平米*月,住宅,延年医院、农业银行 | 交通银行等、博物馆、新华书店等,建材幼儿园；景园小学 | 市四中； | 珠海技工学校；,3路、4路、23路、3A路到交行大厦,吉大免税，吉大百货,免税商场、百货广场、国贸购物广场；,478
葆力物业,葆力,1.9 元/平米*月,住宅,医院：仁和骨伤医院、传统医学研究所； 邮局：拱北邮局； 银行：中国银行、建设银行、交通银行；,金钟小学、恩溢小学、市四中、拱北中学,10路、32路、12路、11路、14路、33路、35路等，到隧道南站；,迎宾广场、万佳百货、屈臣氏、国际大厦购物中心、米兰百货、口岸地下广场；,莲花路步行街、圆明新园、梦幻水城、板障山森林公园,476
,,1.0 元/平米*月,住宅,白莲洞公园、吉莲市场,四中、吉莲小学,2;12;21;22;25;40;202;206;605到中电大厦,万业百货，港华百货,白莲洞公园、吉莲市场、金殿ktv,506
家源物业,,1.5 元/平米*月,住宅,华润万家商场、珠海市百货商场、珠海市免税商场等 邮局：九洲大道邮局,中小学：吉莲小学、四中、吉大小学、 幼儿园：紫荆花幼儿园、建才幼儿园、英才幼儿园,69、23路,华润万家商场、珠海市百货商场、珠海市免税商场等,喜相逢娱乐城、柒玖捌KTV,537
,,0.0 元/平米*月,住宅,"和大福百货吉大店,　港华超市",珠海市东方中英文幼儿园、中小学:吉大小学、实验中学,12路、21路、22路、25路、40路火宫殿巴士站,万业百货、得一超市、吉莲市场、和大福超市;,吉莲市场、白莲洞公园,524
,,0.0 元/平米*月,住宅,,,,,,589
街道办,,0.5 元/平米*月,住宅,九州大道东转入石花二巷，南山居委会旁,实验中学 景园小学,23路 60路 26路,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,惠发百货,575
,,0.7 元/平米*月,住宅,吉大水库 九洲城,吉莲小学 四中,9路、60路、69路，到四中站,珠海百货,珠海百货 海天城 景山市区公园,609
街道办,自已,0.6 元/平米*月,住宅,九洲港，海滨公园，海滨游场,实验中学，九洲小学,3A路 3路 4路 12路 23路到珠海电台站,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV,1397
,,0.0 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,4293
,,20.0 元/平米*月,写字楼,南依将军山，北望板障山，旺中带静，临近拱北、吉大、香洲三大商圈，至近澳门，尽享精致繁华生活！,珠海实验中学、景园小学、格力小学。,2、12、40、25、60、202、205、206路“白莲洞公园”站,南航明珠大酒店、珠海国能酒店、华润万家、口岸广场、迎宾广场,白莲洞公园、梦幻水城、圆明新园；,1504
,珠海南航房地产开发有限公司,2.8 元/平米*月,住宅,中信南航国际广场地处珠海核心位置，写字楼总高38层，大厦周边有金碧购物商城、万豪酒店以及成熟的购物商圈，如国贸购物广场，电脑城等，集购物、美食、娱乐、休闲、商务于一体。其优越的位置畅享“城市之心”带来的快捷交通。,圆明小学，珠海市第四中学，景园小学，珠海市技师学院，珠海市第二中学，九洲小学，珠海市九洲中学，海贝国际幼儿园，建才幼儿园(景林街),“一门五户”的公交枢纽，让多条公交线路与有轨车站无缝连接，直达珠海各大城区；通过港珠澳大桥、九州港、广珠城轨、珠海机场及密集高速公路网，从珠海CBD快速通达香港、澳门、珠三角及全国各大城市。便捷交通让商务办公效率急速提升。,珠海吉大免税商场，国贸购物广场，珠海百货广场，gi时代广场，家乐福(吉大国贸店)，新华书店(吉大店)，华润万家(金碧时代店)，珠海书城(景乐路)，银怡园林农贸市场(园林店)，珠海经济特区国营外币免税商场,海滨游泳场，海滨公园、城市之心购物中心,1538
世家物业,世家,0.6 元/平米*月,住宅,石花山；海滨公园；海滨泳场,实验中学；九洲小学,3路、4路、12路、23路等到珠海电台站,金碧时代广场、华润万家商场、珠海市百货商场、珠海市免税商场、珠海市海天城购物广场等,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风,3458
南通物业,南通,0.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学；九洲小学,4路、13路、9路，到水湾站；,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；,金碧时代广场、华润万家商场、百货商场、免税商场、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,4124
,,1.5 元/平米*月,住宅,周围生活配套齐全 学校 医院 餐馆 超市 等齐全,景园小学  实验中学,吉大巴士站 中医院巴士站,免税商城 珠海百货 ,免税商城,611
,,0.0 元/平米*月,住宅,九洲港，拱北关口、港珠澳大桥珠海口岸、海滨公园，海滨泳场，珠海渔女，日月贝歌剧院等;,九洲中学、海湾小学、健中幼儿园,南油大酒店公交站（4、9、13路）；水湾头公交站（4、9、13、K10路）；,钰海万国汇购物广场、拱北口岸购物广场、九洲城、珠海免税商场、珠海百货广场、家乐福（吉大国贸店）等；,南油大酒店、南油高尔夫俱乐部、庆华国际大酒店、海湾大酒店、珠海度假村酒店、伙工殿餐厅等;,595
边检物业,九洲边检局,0.5 元/平米*月,住宅,其他：吉大市场、吉莲市场海滨公园、海滨泳场、石景山公园等,"幼儿园：龙洲幼儿园；中小学：九州小学,实验中学；",交通指引：02观光线、3路、4路、12路、23路、25路，到洲仔站；,珠海工业技工学校；商场：免税商场、百货广场、国贸购物广场；,医院：中医院、阳光医院；邮局：吉大邮政局（九洲大道）；银行：农信合作社、中国银行、农业银行、建设银行、工商银行、光大银行；,551
华发物业,珠海华发实业股份有限公司,3.3 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,513
,,0.0 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,、免税商场、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,538
葆力物业,葆力,0.5 元/平米*月,住宅,医院：仁和骨伤医院、传统医学研究所； 邮局：拱北邮局； 银行：中国银行、建设银行、交通银行；,金钟小学、恩溢小学、市四中、拱北中学；,10路、32路、12路、11路、14路、33路、35路等，到隧道南站；,迎宾广场、万佳百货、屈臣氏、国际大厦购物中心、米兰百货、口岸地下广场；,莲花路步行街、圆明新园、梦幻水城、板障山森林公园、,539
,,0.6 元/平米*月,住宅,地段十分优越，近邻市场，生活方便，周边新建高端写字楼,四中，吉莲小,2路 12路 21路 22路 25A路 25路 40路,吉莲市场、万业百货,ktv、吉莲市场、万业百货,540
江庆物业,江庆,1.2 元/平米*月,住宅,九洲港，海滨公园，海滨游场，,九洲小学，实验中学,4路、25路、99路，到珠海电台站；,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,550
街道办,海滨,0.5 元/平米*月,住宅,近海滨公园，海滨公园,九洲小学，实验中学,4.13.99,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,491
,,0.0 元/平米*月,住宅,"珠海免税商场、百货广场、海天百货、吉大电脑城,　银行：中国银行、工商银行、建设银行、商业银行、交通银行","珠宾幼儿园,　海莲艺术幼儿园、吉大小学,　景园小学,　吉莲小学, 吉大小学,　景园小学,　吉莲小学珠海市第四中学",60路、69路、23路四中巴士站,万业百货，百分百超市，吉莲市场,免税商场、百货广场、国贸购物广场；,468
,,1.0 元/平米*月,住宅,"白莲洞公园、珠海免税商场、百货广场、海天百货、吉大电脑城,　银行：中国银行、工商银行、建设银行、商业银行、交通银行","珠宾幼儿园,　海莲艺术幼儿园、吉大小学,　景园小学,　吉莲小学, 吉大小学,　景园小学,　吉莲小学珠海市第四中学",12路、202路、206路、21路、22路、25路、2路、40路、60路、69路白莲洞公园巴士站,万业百货，吉莲市场，沃尔玛，拱北万家,免税商场、百货广场、国贸购物广场；白莲洞公园,474
粤彭物业,粤彭,1.0 元/平米*月,写字楼,银行：中国银行工商银行建设银行商业银行交通银行医院：珠海市中医院,距实验中学1360米，距吉大小学2410米,2路、12路、21路、22路、40路、60路、207路，25路、到建业一路巴士站,珠海免税商场百货广场国贸购物广场,白莲洞公园、板障山、海滨公园、石景山公园、珠海博房物、馆珠海书城、吉大影剧院、,43
街道办,九洲海关,0.5 元/平米*月,住宅,九洲港 海滨游场，海滨公园,实验中学，九洲小学,99.12.21.25.3.4,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV,553
宝地物业,宝地,2.2 元/平米*月,住宅,光大国际贸易中心、粤财大厦、商银大厦、联通大厦，石景山公园、海滨公园、珠海渔女,四中 吉莲小学,9.99.23.69路到通信大厦站下车,吉大百货、免税、国贸海天城、铜锣湾百货,石景山公园、海滨公园、珠海渔女,546
,,0.7 元/平米*月,住宅,,,,,,568
,,2.0 元/平米*月,别墅,传统医学研究所、仁和骨科医院、,中小学:金钟小学、恩溢小学、市四中； 幼儿园:竹苑幼儿园,2路、21路、25路、40路、60路、69路、202路、206路、605路，到竹苑站；10路、10K路、12路、22路、609路到隧道南巴士站,华润万家、迎宾广场，沃尔玛超市,白莲洞公园、板障山森林公园、华侨宾馆,579
,,0.0 元/平米*月,住宅,,,,,,601
,,0.0 元/平米*月,写字楼,"园林平价商场,　元丰宝商行,　OK便利店医  院： 市口腔医院吉大门诊部,　南山社区卫生站,　广东省中医院珠海医院-门诊部,　广东省中医院珠海医院,　中医院","圆明小学,　吉大小学、实验中学",10K路、22路水湾头巴士站,免税商场、百货广场、国贸购物广场,免税商场、百货广场、国贸购物广场,1320
南航物业,南航,1.5 元/平米*月,住宅,海滨公园；海滨泳场,实验中学；九洲小学,4路、20路、43路，到海滨南站；,金碧时代广场、华润万家超市、和大福百货；,新华书店、吉大电脑城、珠海电台、喜相逢娱乐城、风雅,1292
无,四中单位分配,0.4 元/平米*月,住宅,吉莲市场、白莲洞、吉大水库,四中、吉莲小学、吉大小学,69路、9路、23路、60路四中巴士站,万业百货、万富泉超市,景山社区、九洲城,3468
,市建安一公司,0.5 元/平米*月,住宅,九龙医院 中国邮政 华润银行 新昌安酒店,东方幼儿园   吉莲小学  实验中学,乘坐12路21路22路25路2路40路 到 建业一路 下车步行131米,万业百货 港华超市,白莲洞公园,3502
珠安物业,海事局,0.6 元/平米*月,住宅,其他：吉大市场、吉莲市场海滨公园、海滨泳场、石景山公园等,"幼儿园：龙洲幼儿园；中小学：九州小学,实验中学",交通指引：02观光线、3路、4路、12路、23路、25路，到洲仔站,珠海工业技工学校；商场：免税商场、百货广场、国贸购物广场；,医院：中医院、阳光医院；邮局：吉大邮政局（九洲大道）；银行：农信合作社、中国银行、农业银行、建设银行、工商银行、光大银行；,1560
私人物业,私人物业,1.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,九洲小学，实验中学,99.12.23.4.3.,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,2044
,,0.0 元/平米*月,住宅,,,,,,4270
濠江物业,濠江,15.0 元/平米*月,写字楼,吉大派出所，海滨公园，旅游大酒店，光大国际贸易中心,九洲小学680米，九州幼儿园687米。圆明小学548米、吉大小学758米。,烟墩山9路，25路。光大国贸4路，992路。海滨南巴士站；4路、20路，21路，43路,珠海百货广场，珠海免税商场，华润万家便利超市。茂新吉大购物城，家乐福,欢乐时光KTV，银座酒店，金碧时代广场，湖南人主题，雪园上海饭。,3946
锦豪物业,珠海金鸿业投资有限公司,20.0 元/平米*月,写字楼,建设银行总部设立于钰海环球金融中心。周边国税局、银行等林立，处于珠海CBD商务中心和金融中心，受到众多国际企业、上市公司和大型央企的青睐。项目位于九州大道与景山路黄金十字路口，东望海滨南路，南临水湾路，西看迎宾南路，珠海九洲机场、九洲港口岸近在咫尺，拱北口岸、港珠澳大桥拱北上岸点、广珠轻轨前山站及珠海站便捷可达，情侣路、海滨南路等多条主干道环绕，10数分钟畅达珠海各区。多条公交线路途径项目附近,吉大小学，九洲中学,中电大厦公交站：20多条线路公交,九洲城，富华里,九洲城，富华里,4588
万科物业,珠海富铿房地产有限公司,5.0 元/平米*月,住宅, 吉大是珠海名副其实的富人区，亦是珠海的商贸、旅游和金融中心，项目坐落在市区仅有的南向2公里一线黄金海岸上，北瞰九洲港和吉大C B D，西临将军山和拱北口岸，南向隔海眺望澳门半岛与港珠澳大桥。充分利用项目得天独厚的景观资源优势，设计师综合运用地势、朝向、落差、抬高等手法，呈现出一线海景高使用率大平层豪宅。,海湾小学、九洲小学、华发艺术中心、实验中学、九洲中学、育才幼儿园、南山幼儿园,项目紧邻港珠澳大桥，快速通达澳门、香港。毗邻城轨珠海站，转瞬即达中山、广州、佛山等城市，广澳高速、广珠西线高速通达珠三角半小时生活圈。全球通大厦(公交站)2：3路、12路、23路、25路、99路、L1路,珠海免税商场、“城市之心”城市综合体、拱北莲花路商业街、万佳百货、迎宾广场、青蓝食街、华景商业街、酒吧街，金碧时代广场、华润万家商场、百货商场、海天城购物广场等；万富泉,石景山公园、海滨公园、白莲洞公园、海滨泳场、大森林公园，迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等。,43150
,,1.5 元/平米*月,住宅,,,,,,43258
,广东省公安边防总队第五支队,0.0 元/平米*月,住宅,,,,,,42914
珠海曦华物业有限公司,曦华,5.5 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女，港珠澳口岸，拱北关口。,海湾小学、九洲中学,全球通大厦(公交站)2：3路、12路、23路、25路、99路、L1路,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,金碧时代广场、华润万家商场、百货商场、免税商场、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,4562
,,0.5 元/平米*月,住宅,酒店，超市,"圆明小学,　吉大小学,　景园小学,　吉莲小学, 圆明小学,　吉大小学,　景园小学,　吉莲小学珠海市第四中学",2路.12路.40路、25路、605路、K7路、603路、202路、206路、22路中电大厦巴士站,"万业百货；,　邮局：,　银行：建设银行、工商银行、农业银行、珠海商业银行等，吉莲市场",新昌安酒店、白莲洞公园等、免税商场、百货广场、国贸购物广场；,4306
,,0.6 元/平米*月,住宅,"周边市场,学校,超市,银行等配套都齐全,离免税市场也近,生活,交通都非常方便",吉大小学、实验中学,乘坐12路，202路，206路，21路，22路，25路，2路，40路，603路，605路，992路，9路，K3路，K7路，到中电大厦下车；乘坐13路，22路，26路，K10路，到水湾北下车；乘坐12路，21路，22路，25路，2路，到建业一路下车；,周围商店：万业百货；近吉莲市场,新昌安酒店，酒吧街，白莲洞公园、免税商场、百货广场、国贸购物广场；,4242
,,0.0 元/平米*月,住宅,,,,,,6530
格力物业,格力,2.5 元/平米*月,写字楼,广发银行 南油大酒店,吉莲小学  四中,水湾北巴士站,万业百货 珠海百货,情侣路 珠海百货 高尔夫俱乐部,2056
,,0.0 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,21、23、20、43、到信海大厦巴士站,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,1485
,,0.5 元/平米*月,住宅,吉莲市场，吉大派出所，吉莲居委会，吉大物业管理有限公司，中医院，,"珠宾幼儿园,　海莲艺术幼儿园、吉大小学,　景园小学,　吉莲小学, 吉大小学,　景园小学,　吉莲小学珠海市第四中学",60路、69路白莲新村巴士站,"万业百货,百分百超市，吉莲市场",新昌安酒店，金典KTV、免税商场、百货广场、国贸购物广场；,1490
,,0.4 元/平米*月,住宅,医院：市中医院、九龙医院； 邮局：九洲邮局；,幼儿园：珠宾幼儿园、紫荆花幼儿园；中小学：吉莲小学、市四中、实验中学；,9路、23路、60路，69路 到经贸学校站下；,吉莲市场、白莲洞公园、市博物馆、市图书馆、新华书店银行：中国银行、工商银行、建设银行、交通银行；,免税商场、百货广场、国贸购物广场；,3473
,,0.0 元/平米*月,写字楼,中国银行,暂无,20路; 21路; 23路; 43路,免税百货，新天地购物城,九洲城、免税商场、百货广场、国贸购物广场；,605
瑞达物业,瑞达,2.5 元/平米*月,住宅,九洲港，海滨公园，渔女，海滨游场,海湾小学、九洲中学,3路、12路、23路、25路、99路、L1路,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；,金碧时代广场、华润万家商场、百货商场、免税商场、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,583
广信,珠海国建发展有限公司(金桥集团),1.5 元/平米*月,住宅,传统医学研究院、仁和骨伤医院、方华医院等；,幼儿园：边检外国语幼儿园、嘉艺幼儿园等； 中小学：恩溢小学、市第四中学；,观光01线、观光02线、2路、12路、21路、22路、25路、40路、60路、69路、202路、206路、605路，到竹苑；,商场：万佳百货、迎宾广场；,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园、文华书城等；,585
广信物业,广信,3.5 元/平米*月,住宅,传统医学研究院、仁和骨伤医院、方华医院建设银行,恩溢小学、市第四中学；,观光01线、观光02线、2路、12路、21路、22路、25路、40路、60路、69路、202路、206路、605路，到竹苑；,万佳百货、迎宾广场；,白莲洞、圆明新圆、梦幻水城、板嶂山森林公园、文华书,466
,,0.5 元/平米*月,住宅,"华润万家便利超市,　华润万家,　和大福百货珠海园林店,　三叶茗茶,　园林平价商场、珠海百货、免税商场、国贸；,　邮局：吉大邮政营业厅；,　银行：农业银行、中国银行；珠海商业银行，光大，工行，东亚银行","金宝贝早教中心,　新爱婴早教中心,　海贝国际幼儿园,　艾尔学生托管中心、珠海技工学校； 中小学:吉大小学、景园小学、市四中； 幼儿园:紫荆花幼儿园",2路、3路、13路、20路、23路、25路、25A路、26路、40路、43路、202路、206路、605路，到吉大站,"华润万家便利超市,　华润万家,　和大福百货珠海园林店,　三叶茗茶,　园林平价商场",免税商场、百货广场、国贸购物广场；,488
,,1.0 元/平米*月,住宅,白莲洞公园，白莲洞巴士站,吉莲小学，四中,12路、202路、206路、21路、22路、25路、2路、40路、60路、69路,华润万家便利超市，港华百货吉大店,韵之梦钢琴艺术中心，赏心堂美术馆，八分田咖啡,484
,,0.0 元/平米*月,住宅,地段十分优越，近邻市场，生活方便，周边新建高端写字楼,吉莲小学、四中,2;12;21;22;25;40;202;206;605到中电大厦,吉莲市场、万业百货,ktv、吉莲市场、万业百货,508
吉大物业管理公司,特区房地产公司,0.8 元/平米*月,住宅,吉莲市场，吉大派出所，吉莲居委会，白莲洞公园，九龙医院,吉莲小学，四中,2;12;21;22;25;40;202;206;605到中电大厦,吉莲市场、万业百货,白莲洞公园，金殿ktv,532
珠海市鸿基地产,珠海市鸿基地产,1.2 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,511
,,0.0 元/平米*月,住宅,交通银行珠海总部，九洲妇科,暂无,3路、4路、12路、23路到交行大厦,免税百货,九洲城,521
,,0.0 元/平米*月,住宅,,,,,,502
业主委员会管理处,业主委员会管理处,1.2 元/平米*月,住宅,九洲港，海滨公园，海滨游场，渔女,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,503
私人物业,商检局,0.5 元/平米*月,住宅,其它配套：中邦商务酒店、怡景湾酒店、海滨泳场、海滨浴场、景山公园场,实验中学 九洲小学,,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,528
街道办,街道办,0.3 元/平米*月,住宅,其它配套：中邦商务酒店、怡景湾酒店、海滨泳场、海滨浴场、景山公园场,实验中学 九洲小学,3路、4路、12路、23路等，到珠海电台；,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,526
珠海市格力物业,珠海市格力置业,0.0 元/平米*月,酒店公寓,九洲港，海滨公园，海滨游场，渔女,实验中学 景园小学,20路;20路;21路;23路;23路;43路;43路到信海大厦巴士站,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,531
,,0.0 元/平米*月,住宅,,,,,,525
,,0.0 元/平米*月,住宅,南山社区卫生服务站，吉大邮政营业厅,香山幼儿园，九州小学，实验中学,3A到交行大厦,新天地购物广场，免税百货,免税商场、百货广场、国贸购物广场；,510
,,0.0 元/平米*月,住宅,吉莲市场，吉大派出所，吉莲居委会，白莲洞公园，九龙医院,吉莲小学，四中,2;12;21;22;25;40;202;206;605到中电大厦,吉莲市场，万业百货,白莲洞公园，金殿ktv,533
,,0.0 元/平米*月,住宅,吉莲市场，吉大派出所，吉莲居委会，白莲洞公园，九龙医院,吉莲小学，四中,2;12;21;22;25;40;202;206;605到中电大厦,吉莲市场，万业百货,白莲洞公园，金殿ktv,535
